"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
1, -5.000000000000000e+01, -1.500000000000000e+02, 5.623317508503294e-01, 1.124663501700659e+00, -4.791030107907136e-20, -2.117998893815943e-06, 0.000000000000000e+00
203, -4.999605221019080e+01, -1.493716980058324e+02, 5.681168945637916e-01, 1.136233789127583e+00, -2.538150117354434e-08, -2.019689368527290e-06, 0.000000000000000e+00
204, -4.998420946416500e+01, -1.487434952278331e+02, 5.749972430867805e-01, 1.149994486173561e+00, -4.829511548723239e-08, -1.921196975994708e-06, 0.000000000000000e+00
205, -4.996447363202946e+01, -1.481154908665033e+02, 5.808292998654148e-01, 1.161658599730830e+00, -7.091067523142846e-08, -1.880072905911462e-06, 0.000000000000000e+00
206, -4.993684783030087e+01, -1.474877840910115e+02, 5.859994842491426e-01, 1.171998968498285e+00, -8.815847852839924e-08, -1.752379845805331e-06, 0.000000000000000e+00
207, -4.990133642141357e+01, -1.468604740235343e+02, 5.913042998816025e-01, 1.182608599763205e+00, -9.969559063177843e-08, -1.584616036032492e-06, 0.000000000000000e+00
208, -4.985794501303069e+01, -1.462336597236034e+02, 5.968035546042648e-01, 1.193607109208530e+00, -1.098145613701359e-07, -1.453699867942215e-06, 0.000000000000000e+00
209, -4.980668045715863e+01, -1.456074401724628e+02, 6.016706832568901e-01, 1.203341366513780e+00, -1.192550210685847e-07, -1.352217604422578e-06, 0.000000000000000e+00
210, -4.974755084906501e+01, -1.449819142574393e+02, 6.057722573880792e-01, 1.211544514776158e+00, -1.281421023164842e-07, -1.270356083561379e-06, 0.000000000000000e+00
211, -4.968056552600042e+01, -1.443571807563259e+02, 6.086289303430384e-01, 1.217257860686077e+00, -1.342543770012857e-07, -1.182003726460309e-06, 0.000000000000000e+00
212, -4.960573506572390e+01, -1.437333383217848e+02, 6.108185347338602e-01, 1.221637069467720e+00, -1.353642607651656e-07, -1.071518457782332e-06, 0.000000000000000e+00
213, -4.952307128483256e+01, -1.431104854657681e+02, 6.131542876913243e-01, 1.226308575382649e+00, -1.325346240719261e-07, -9.526827475303451e-07, 0.000000000000000e+00
214, -4.943258723689571e+01, -1.424887205439622e+02, 6.152791986276154e-01, 1.230558397255231e+00, -1.258627176812583e-07, -8.283169076674503e-07, 0.000000000000000e+00
215, -4.933429721039340e+01, -1.418681417402558e+02, 6.173362585404081e-01, 1.234672517080816e+00, -1.185223534639201e-07, -7.190505324976657e-07, 0.000000000000000e+00
216, -4.922821672646027e+01, -1.412488470512362e+02, 6.190743444213791e-01, 1.238148688842758e+00, -1.115112643680427e-07, -6.272888523251061e-07, 0.000000000000000e+00
217, -4.911436253643443e+01, -1.406309342707138e+02, 6.204582047934462e-01, 1.240916409586892e+00, -1.012398947983348e-07, -5.307181142654189e-07, 0.000000000000000e+00
218, -4.899275261921234e+01, -1.400145009742797e+02, 6.214690682663612e-01, 1.242938136532722e+00, -8.770924837004604e-08, -4.303357795882407e-07, 0.000000000000000e+00
219, -4.886340617840968e+01, -1.393996445038973e+02, 6.223038722518461e-01, 1.244607744503692e+00, -7.461109825456406e-08, -3.439273711877195e-07, 0.000000000000000e+00
220, -4.872634363932885e+01, -1.387864619525309e+02, 6.228925672025903e-01, 1.245785134405181e+00, -6.175205723433841e-08, -2.683320775743046e-07, 0.000000000000000e+00
221, -4.858158664573370e+01, -1.381750501488138e+02, 6.232081019264768e-01, 1.246416203852954e+00, -4.592251289129316e-08, -1.886679070181814e-07, 0.000000000000000e+00
222, -4.842915805643156e+01, -1.375655056417573e+02, 6.234947017101723e-01, 1.246989403420345e+00, -2.993260430186125e-08, -1.165797967341194e-07, 0.000000000000000e+00
223, -4.826908194166369e+01, -1.369579246855052e+02, 6.235624947612065e-01, 1.247124989522413e+00, -1.236986993487480e-08, -4.578123121483604e-08, 0.000000000000000e+00
224, -4.810138357930430e+01, -1.363524032241338e+02, 6.233481592466351e-01, 1.246696318493270e+00, 5.828678388243589e-09, 2.054336008879549e-08, 0.000000000000000e+00
225, -4.792608945086879e+01, -1.357490368765012e+02, 6.228199969044410e-01, 1.245639993808882e+00, 2.281664518387299e-08, 7.673253860630933e-08, 0.000000000000000e+00
226, -4.774322723733215e+01, -1.351479209211483e+02, 6.222021860111606e-01, 1.244404372022321e+00, 4.214886510232487e-08, 1.354909863926978e-07, 0.000000000000000e+00
227, -4.755282581475768e+01, -1.345491502812526e+02, 6.215676114530347e-01, 1.243135222906069e+00, 6.327958049141213e-08, 1.947545231177789e-07, 0.000000000000000e+00
228, -4.735491524973722e+01, -1.339528195096395e+02, 6.208269882261931e-01, 1.241653976452386e+00, 8.839491992682503e-08, 2.608516769756915e-07, 0.000000000000000e+00
229, -4.714952679464324e+01, -1.333590227738507e+02, 6.197350658849188e-01, 1.239470131769838e+00, 1.144744860709878e-07, 3.243450054018312e-07, 0.000000000000000e+00
230, -4.693669288269371e+01, -1.327678538412742e+02, 6.184372894197246e-01, 1.236874578839449e+00, 1.423171241239510e-07, 3.876415093874617e-07, 0.000000000000000e+00
231, -4.671644712283060e+01, -1.321794060643375e+02, 6.169026458137172e-01, 1.233805291627434e+00, 1.735301695571587e-07, 4.549070036386313e-07, 0.000000000000000e+00
232, -4.648882429441257e+01, -1.315937723657661e+02, 6.151799571782859e-01, 1.230359914356572e+00, 2.035349163698076e-07, 5.140705174858955e-07, 0.000000000000000e+00
233, -4.625386034172291e+01, -1.310110452239099e+02, 6.132488038393111e-01, 1.226497607678622e+00, 2.370268286314757e-07, 5.773569929487202e-07, 0.000000000000000e+00
234, -4.601159236829352e+01, -1.304313166581399e+02, 6.115340628324097e-01, 1.223068125664819e+00, 2.688140902462988e-07, 6.320590980593827e-07, 0.000000000000000e+00
235, -4.576205863104588e+01, -1.298546782143169e+02, 6.093644452619957e-01, 1.218728890523991e+00, 2.933626136103265e-07, 6.664017217999264e-07, 0.000000000000000e+00
236, -4.550529853424979e+01, -1.292812209503358e+02, 6.071666206397036e-01, 1.214333241279407e+00, 3.271430944390798e-07, 7.185145485737128e-07, 0.000000000000000e+00
237, -4.524135262330098e+01, -1.287110354217464e+02, 6.051005089851207e-01, 1.210201017970241e+00, 3.646789561997252e-07, 7.749822303984559e-07, 0.000000000000000e+00
238, -4.497026257831855e+01, -1.281442116674534e+02, 6.025920854279383e-01, 1.205184170855877e+00, 4.011484743433704e-07, 8.253992923810101e-07, 0.000000000000000e+00
239, -4.469207120756319e+01, -1.275808391954984e+02, 5.998022766406994e-01, 1.199604553281399e+00, 4.314959405013489e-07, 8.601770363674288e-07, 0.000000000000000e+00
240, -4.440682244067723e+01, -1.270210069689256e+02, 5.967441088467518e-01, 1.193488217693504e+00, 4.598810403963468e-07, 8.887184776591147e-07, 0.000000000000000e+00
241, -4.411456132174767e+01, -1.264648033917334e+02, 5.935144727965458e-01, 1.187028945593092e+00, 5.076541686793709e-07, 9.515510461714734e-07, 0.000000000000000e+00
